Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 20.919295, 6.954176, 26.964429, 0.992770, -9.209024, 28.556287, 0.845487, 
50, 20.943992, 6.988897, 27.007037, 0.852164, -2.812102, 127.938434, 1.055236, 
50, 20.966752, 7.041083, 27.063970, 1.138667, 5.730054, 170.843117, 1.245877, 
50, 20.986624, 7.122357, 27.147639, 1.673369, 10.694045, 99.279825, 1.400876, 
50, 20.998319, 7.232725, 27.258624, 2.219709, 10.926791, 4.654924, 1.519476, 
50, 20.998814, 7.366160, 27.392061, 2.668726, 8.980339, -38.929039, 1.608170, 
50, 20.987909, 7.516276, 27.542572, 3.010238, 6.830242, -43.001945, 1.674118, 
50, 20.966854, 7.678249, 27.705908, 3.266701, 5.129256, -34.019733, 1.722983, 
50, 20.937358, 7.848858, 27.879048, 3.462803, 3.922052, -24.144063, 1.758784, 
50, 20.901140, 8.026091, 28.059943, 3.617914, 3.102220, -16.396638, 1.784250, 
50, 20.859787, 8.208772, 28.247246, 3.746054, 2.562788, -10.788652, 1.801176, 
50, 20.814740, 8.396307, 28.440116, 3.857401, 2.226938, -6.716995, 1.810682, 
50, 20.767334, 8.588535, 28.638103, 3.959735, 2.046683, -3.605107, 1.813366, 
50, 20.718878, 8.785573, 28.841012, 4.058176, 1.968823, -1.557196, 1.809397, 
50, 20.670789, 8.987538, 29.048624, 4.152237, 1.881213, -1.752204, 1.798564, 
50, 20.624651, 9.194581, 29.260745, 4.242428, 1.803822, -1.547815, 1.780300, 
50, 20.582256, 9.407134, 29.477485, 4.334795, 1.847346, 0.870480, 1.753634, 
50, 20.545732, 9.625943, 29.699320, 4.436713, 2.038359, 3.820249, 1.717105, 
50, 20.517763, 9.852083, 29.927184, 4.557276, 2.411268, 7.458185, 1.668641, 
50, 20.501905, 10.086905, 30.162540, 4.707125, 2.996981, 11.714273, 1.605456, 
50, 20.503043, 10.331724, 30.407362, 4.896429, 3.786070, 15.781772, 1.524083, 
50, 20.527824, 10.586933, 30.663772, 5.128200, 4.635416, 16.986914, 1.420842, 
50, 20.584501, 10.850052, 30.932925, 5.383067, 5.097337, 9.238432, 1.293342, 
50, 20.680790, 11.112875, 31.212832, 5.598138, 4.301422, -15.918311, 1.143397, 
50, 20.818743, 11.360389, 31.496194, 5.667240, 1.382040, -58.387644, 0.979952, 
50, 20.990090, 11.575788, 31.771433, 5.504777, -3.249250, -92.625793, 0.817800, 
50, 21.178975, 11.749523, 32.028069, 5.132713, -7.441285, -83.840704, 0.670670, 
50, 21.370131, 11.882358, 32.260847, 4.655564, -9.542986, -42.034022, 0.545580, 
50, 21.553728, 11.981116, 32.469320, 4.169460, -9.722082, -3.581902, 0.443101, 
50, 21.725221, 12.053830, 32.655591, 3.725420, -8.880798, 16.825663, 0.360399, 
50, 21.883241, 12.107338, 32.822425, 3.336681, -7.774777, 22.120424, 0.293766, 
50, 22.027887, 12.146799, 32.972357, 2.998645, -6.760714, 20.281262, 0.239809, 
50, 22.159788, 12.175941, 33.107438, 2.701626, -5.940380, 16.406673, 0.195787, 
50, 22.279683, 12.197439, 33.229246, 2.436159, -5.309333, 12.620948, 0.159591, 
50, 22.388268, 12.213230, 33.338972, 2.194524, -4.832702, 9.532620, 0.129632, 
50, 22.486135, 12.224735, 33.437514, 1.970828, -4.473930, 7.175447, 0.104711, 
50, 22.573779, 12.233016, 33.525548, 1.760680, -4.202959, 5.419423, 0.083925, 
50, 22.651600, 12.238877, 33.603589, 1.560826, -3.997082, 4.117536, 0.066586, 
50, 22.719921, 12.242934, 33.672031, 1.368840, -3.839723, 3.147175, 0.052171, 
50, 22.779003, 12.245665, 33.731176, 1.182893, -3.718927, 2.415923, 0.040276, 
50, 22.829130, 12.247440, 33.781334, 1.003170, -3.594461, 2.489319, 0.030576, 
50, 22.870901, 12.248553, 33.823120, 0.835714, -3.349131, 4.906587, 0.022756, 
50, 22.905149, 12.249225, 33.857375, 0.685104, -3.012204, 6.738559, 0.016516, 
50, 22.932673, 12.249612, 33.884902, 0.550528, -2.691512, 6.413826, 0.011610, 
50, 22.954242, 12.249822, 33.906471, 0.431393, -2.382697, 6.176308, 0.007831, 
50, 22.970605, 12.249927, 33.922835, 0.327266, -2.082542, 6.003106, 0.005002, 
50, 22.982496, 12.249974, 33.934726, 0.237834, -1.788633, 5.878165, 0.002966, 
50, 22.990640, 12.249993, 33.942870, 0.162877, -1.499140, 5.789866, 0.001582, 
50, 22.995752, 12.249998, 33.947982, 0.102245, -1.212656, 5.729686, 0.000717, 
50, 22.998544, 12.250000, 33.950774, 0.055839, -0.928109, 5.690943, 0.000245, 
50, 22.999724, 12.250000, 33.951955, 0.023604, -0.644694, 5.668295, 0.000046, 
50, 23.000000, 12.250000, 33.952230, 0.005512, -0.361840, 5.657078, 0.000000, 
50, 23.000000, 12.250000, 33.952230, 0.000000, -0.110248, 5.031832, 0.000000, 
